UniqueID,Description
1139:q5xmzgiavx5vvweng3ql0klh61800,REPAIR- Overhaul RT5 Primary motor 6208-2Z/C3WT-*SKF SKF 6208-2Z/C3WT
114:0QC0-47126,Shims for HIP Bearing Project 01B40MMEX 01B40MMEX 01B40MMEX
1140:3djsikr5bpvy0obcm1vcjz0f86500,Idler sprocket (LER)TRAYWASH PUMP REPAIRS - MB/11605 BRETTEX MB/11605
1141:0M80-52MZ1U,Bearings 2204e2rstn9 SKF 2204E-2RS1
1142:0M80-52MZ1U,Bearings 6313/C5-SKF SKF 6313/C5-SKF
1143:fqn1vo2deaheokhsq0kpdi2s55700,fan bearings  QUOTE EMAIL 19.7.19 N/A QUOTE EMAIL 19.7.19
1144:0M80-52MZ75,Induction heater trolley  6306-2Z/C3WT-*SKF SKF 6306-2Z/C3WT
1145:xkcjyxvz2hbatmup1thy0i5b33800,"Bearing, 1-1/2, 4 bolt flange.  FLURO GALW 8"
1146:0QC0-59246,QUOTE CQU0007703 -  Bearing CZ013097 HOPPE-ARRONE 87139200
1147:cob0bhaitl34mem0yhhiorig98300,As per sample (Stud with internal threading)  6202-2RSH-*SKF Bearing SKF 6202-2RSH
1148:4gsuwydsq10bru1xnmhh5smb46300,"BEARING ASSY, - DUN - BMA3014105  1208ETN9-SKF  N/A N/A"
1149:gav01lyjifpgv4dyx0l5vkzc69104,1021351 ball bearing. 2C210005045 CFT SPA 2C210005045
115:0QC0-47126,Shims for HIP Bearing Project 01B40MMGR 01B40MMGR 01B40MMGR
1150:sclp4u4sawdachaj5kb1cxr01700,6209ZZC3:NSK Bearing LAG33616FR town and county LAG33616FR
1151:kr4124xk5ekmbeqz0upy0jwq45100,LOAD ROLLER 70 X 100 75GG-10407 SKF 75GG-10407
1152:fufhhuolwpw14vewqj1q1b2x82600,Bearing  51306 N/A N/A
1153:iyvxejcu0ooyp5hgnl1bpred29600,Metric bearing cap closed 52614392 R&N C206-M-10718 C4 Part Number 52614392 Rework
1154:ilsrtezrqgu45nbekyarvnbc73400,Thrust ball bearing  22216EK SKF 22216EK
1155:iyvxejcu0ooyp5hgnl1bpred29600,BEARING HOUSING  St/ST 28mm Conveyor Rollers supplied cw 2 brgs + a R & N ENGINEERING N/A
1156:iyvxejcu0ooyp5hgnl1bpred29600,BEARING CAP Phosphorous bronze cast half shells R & R Bearings  None
1157:0QC0-59419,SEALMASTER FLANGE BEARINGS  N/A N/A
1158:0QC0-59419,Carriage 1215K:SKF SKF 1215K
1159:0M80-GSISRP,Ball bearing   04B-1CL WIT N/A N/A
116:b5mgoxfo5cjytwzounafx32v53701,ST50 BEARING 30210 N/A N/A
1160:0M80-GSISRP,Ball bearing 300L050 N/A N/A
1161:0M80-GSISRP,Ball Bearing c6011110900005 n/a REPAIR QUOTE EL72425
1162:0M80-GSISRP,Needle Roller bearing AIR BEARING lloyd&jones #
1163:0M80-GSISRP,Needle bearing FT-20AEXSULEB-0 Phoenix Flow FT-20AEXSULEB-0
1164:fufhhuolwpw14vewqj1q1b2x82602,Bearing 3206J:NSK Brammer  3206J:NSK
1165:lvnhpmcg0saxmasajjpumicn2200,LINEAR SELF-LUBE FLANGE BLOCK BEARING LF8-SL PHEY40 INA PHEY 40mm
1166:afhoo02c02mkpjavqsuxr23515300,REXROTH LINEAR BEARINGS NOT AVAILABLE SIEMENS 1LA6 253 2AB60
1167:4uviwwp2uhevycnanpx00lox50200,Linear bearing 7206B2RSTVP 7206-B-2RS-TVP 7206-B-2RS-TVP
1168:tgwihiqbymlmldek1kknf5tq31200,OK ENG DOC 007364 CLOSE 6008 2RS stainless steel  SKF 6008 2RS stainless steel 
1169:qws5lgc4teb5dfnmhyrvsij024600,6807z bearing  Marel AC9946998
117:b5mgoxfo5cjytwzounafx32v53701,SNP35 BEARING CZ005997 N/A CZ005997
1170:0ND0-2DPCVE,"Bearing, 6006-2RS Supply of all parts mentioned in the scope of work N/A N/A"
1171:0ND0-2DPCVE,"Bearing, 6302-2RS PL2134/840-L10 N/A PL2134/840-L10"
1172:pt03lkjqhndsy1ffsuidngv36200,REPAIR- Return drum for belt 53W (FELTR017)  SKF SY60
1173:0ND0-2DPCQ6,"Bearing, SKF, SS6906-2RS 349-7261 RS PRO DA3874"
1174:0ND0-2DPD82,"Bearing, SKF, 6006-2RS1 04b-1x5 wit N/A N/A"
1175:erjkgk50qk4rsjuhclzwm1p03401,6205 2RS BEARING AM1218X25 OILITE AM121825
1176:erjkgk50qk4rsjuhclzwm1p03401,61808 2RS FAG BEARING 23136CC/W33-SKF SKF 23136CC/W33-SKF
1177:gav01lyjifpgv4dyx0l5vkzc52900,SPZ1270 wedge belt. Acorn SKF 6209ZZ C3
